
TEST CASES
case	A	B	C	D	pairings
103	A15	B1	~C2	D5	2
104	A15	B2	~C3	D7	2
105	A15	B6	~C1	D6	2
106	A16	B2	~C1	D5	2
107	A16	B3	~C3	D6	2
108	A16	B7	~C2	D3	2
109	A17	B3	~C1	D2	2
110	A17	B4	~C2	D6	2
111	A17	B8	~C3	D4	2
112	A18	B5	~C2	D7	2
113	A18	B6	~C3	D2	2
114	A18	B10	~C1	D5	2
115	A19	B7	~C3	D6	2
116	A19	B1	~C1	D1	2
117	A19	B2	~C2	D2	2
118	A20	B7	~C1	D4	2
119	A20	B9	~C2	D1	2
120	A20	B2	~C3	D3	2
121	A1	B8	~C2	D7	2
122	A2	B9	~C1	D5	2
123	A2	B10	~C3	D7	2
124	A3	B10	~C2	D7	2
125	A4	B9	~C3	D6	2
126	A5	B2	~C1	D7	2
127	A6	B3	~C1	D3	2
128	A7	B4	~C3	D2	2
129	A8	B1	~C2	D2	2
130	A9	B1	~C3	D4	2
131	A10	B3	~C3	D7	2
132	A11	B4	~C2	D7	2
133	A12	B4	~C1	D4	2
134	A13	B6	~C2	D4	2
135	A14	B7	~C1	D4	2
136	A15	B7	~C2	D1	2
137	A16	B8	~C1	D1	2
138	A17	B9	~C2	D5	2
139	A18	B1	~C1	D6	2
140	A19	B5	~C1	D3	2
141	A20	B5	~C3	D6	2
142	A1	B6	~C3	~D7	1
143	A1	B7	~C1	~D5	1
144	A2	B5	~C2	~D5	1
145	A3	B7	~C3	~D2	1
146	A3	B4	~C1	~D1	1
147	A4	B8	~C2	~D3	1
148	A4	B10	~C1	~D4	1
149	A5	B8	~C3	~D2	1
150	A5	B3	~C2	~D1	1
151	A6	B9	~C3	~D3	1
152	A6	B7	~C2	~D5	1
153	A7	B9	~C1	~D4	1
154	A7	B10	~C2	~D6	1
155	A8	B10	~C3	~D2	1
156	A8	B5	~C1	~D4	1
157	A9	B2	~C1	~D1	1
158	A9	B6	~C2	~D4	1
159	A10	B1	~C2	~D7	1
160	A10	B2	~C1	~D1	1
161	A11	B6	~C3	~D1	1
162	A11	B3	~C1	~D6	1
163	A12	B6	~C2	~D2	1
164	A12	B5	~C3	~D1	1
165	A13	B9	~C1	~D2	1
166	A13	B7	~C3	~D3	1
167	A14	B8	~C3	~D3	1
168	A14	B9	~C2	~D4	1
169	A15	B8	~C3	~D4	1
170	A15	B9	~C1	~D3	1
171	A16	B1	~C3	~D5	1
172	A16	B9	~C2	~D6	1
173	A17	B2	~C3	~D5	1
174	A17	B10	~C1	~D6	1
175	A18	B2	~C2	~D6	1
176	A18	B3	~C2	~D5	1
177	A18	B4	~C3	~D7	1
178	A19	B6	~C3	~D6	1
179	A19	B3	~C2	~D7	1
180	A20	B6	~C1	~D7	1
181	A20	B3	~C2	~D1	1
182	A1	B9	~C3	~D1	1
183	A2	B8	~C1	~D2	1
184	A3	B5	~C2	~D4	1
185	A4	B1	~C1	~D6	1
186	A5	B7	~C3	~D6	1
187	A6	B8	~C2	~D7	1
188	A7	B5	~C2	~D2	1
189	A8	B6	~C1	~D3	1
190	A9	B10	~C2	~D5	1
191	A10	B4	~C2	~D5	1
192	A11	B5	~C1	~D5	1
193	A12	B7	~C1	~D7	1
194	A13	B8	~C1	~D5	1
195	A14	B10	~C3	~D1	1
196	A15	B10	~C1	~D2	1
197	A16	B10	~C3	~D4	1
198	A17	B1	~C3	~D7	1
199	A19	B4	~C2	~D1	1
200	A20	B4	~C1	~D3	1

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
A	B	A1	B1	1	1
A	B	A1	B2	1	2
A	B	A1	B3	1	3
A	B	A1	B4	1	63
A	B	A1	B5	1	64
A	B	A1	B6	1	142
A	B	A1	B7	1	143
A	B	A1	B8	1	121
A	B	A1	B9	1	182
A	B	A1	B10	1	62
A	B	A2	B1	1	4
A	B	A2	B2	1	5
A	B	A2	B3	1	6
A	B	A2	B4	1	65
A	B	A2	B5	1	144
A	B	A2	B6	1	66
A	B	A2	B7	1	67
A	B	A2	B8	1	183
A	B	A2	B9	1	122
A	B	A2	B10	1	123
A	B	A3	B1	1	7
A	B	A3	B2	1	8
A	B	A3	B3	1	9
A	B	A3	B4	1	146
A	B	A3	B5	1	184
A	B	A3	B6	1	68
A	B	A3	B7	1	145
A	B	A3	B8	1	69
A	B	A3	B9	1	70
A	B	A3	B10	1	124
A	B	A4	B1	1	185
A	B	A4	B2	1	71
A	B	A4	B3	1	72
A	B	A4	B4	1	10
A	B	A4	B5	1	11
A	B	A4	B6	1	12
A	B	A4	B7	1	13
A	B	A4	B8	1	147
A	B	A4	B9	1	125
A	B	A4	B10	1	148
A	B	A5	B1	1	75
A	B	A5	B2	1	126
A	B	A5	B3	1	150
A	B	A5	B4	1	14
A	B	A5	B5	1	15
A	B	A5	B6	1	16
A	B	A5	B7	1	186
A	B	A5	B8	1	149
A	B	A5	B9	1	73
A	B	A5	B10	1	74
A	B	A6	B1	1	77
A	B	A6	B2	1	78
A	B	A6	B3	1	127
A	B	A6	B4	1	17
A	B	A6	B5	1	18
A	B	A6	B6	1	19
A	B	A6	B7	1	152
A	B	A6	B8	1	187
A	B	A6	B9	1	151
A	B	A6	B10	1	76
A	B	A7	B1	1	79
A	B	A7	B2	1	80
A	B	A7	B3	1	81
A	B	A7	B4	1	128
A	B	A7	B5	1	188
A	B	A7	B6	1	20
A	B	A7	B7	1	21
A	B	A7	B8	1	22
A	B	A7	B9	1	153
A	B	A7	B10	1	154
A	B	A8	B1	1	129
A	B	A8	B2	1	82
A	B	A8	B3	1	83
A	B	A8	B4	1	84
A	B	A8	B5	1	156
A	B	A8	B6	1	189
A	B	A8	B7	1	23
A	B	A8	B8	1	24
A	B	A8	B9	1	25
A	B	A8	B10	1	155
A	B	A9	B1	1	130
A	B	A9	B2	1	157
A	B	A9	B3	1	85
A	B	A9	B4	1	86
A	B	A9	B5	1	87
A	B	A9	B6	1	158
A	B	A9	B7	1	26
A	B	A9	B8	1	27
A	B	A9	B9	1	28
A	B	A9	B10	1	190
A	B	A10	B1	1	159
A	B	A10	B2	1	160
A	B	A10	B3	1	131
A	B	A10	B4	1	191
A	B	A10	B5	1	88
A	B	A10	B6	1	89
A	B	A10	B7	1	29
A	B	A10	B8	1	90
A	B	A10	B9	1	30
A	B	A10	B10	1	31
A	B	A11	B1	1	34
A	B	A11	B2	1	93
A	B	A11	B3	1	162
A	B	A11	B4	1	132
A	B	A11	B5	1	192
A	B	A11	B6	1	161
A	B	A11	B7	1	91
A	B	A11	B8	1	92
A	B	A11	B9	1	32
A	B	A11	B10	1	33
A	B	A12	B1	1	36
A	B	A12	B2	1	37
A	B	A12	B3	1	96
A	B	A12	B4	1	133
A	B	A12	B5	1	164
A	B	A12	B6	1	163
A	B	A12	B7	1	193
A	B	A12	B8	1	94
A	B	A12	B9	1	95
A	B	A12	B10	1	35
A	B	A13	B1	1	38
A	B	A13	B2	1	39
A	B	A13	B3	1	40
A	B	A13	B4	1	98
A	B	A13	B5	1	99
A	B	A13	B6	1	134
A	B	A13	B7	1	166
A	B	A13	B8	1	194
A	B	A13	B9	1	165
A	B	A13	B10	1	97
A	B	A14	B1	1	100
A	B	A14	B2	1	41
A	B	A14	B3	1	42
A	B	A14	B4	1	43
A	B	A14	B5	1	101
A	B	A14	B6	1	102
A	B	A14	B7	1	135
A	B	A14	B8	1	167
A	B	A14	B9	1	168
A	B	A14	B10	1	195
A	B	A15	B1	1	103
A	B	A15	B2	1	104
A	B	A15	B3	1	44
A	B	A15	B4	1	45
A	B	A15	B5	1	46
A	B	A15	B6	1	105
A	B	A15	B7	1	136
A	B	A15	B8	1	169
A	B	A15	B9	1	170
A	B	A15	B10	1	196
A	B	A16	B1	1	171
A	B	A16	B2	1	106
A	B	A16	B3	1	107
A	B	A16	B4	1	47
A	B	A16	B5	1	48
A	B	A16	B6	1	49
A	B	A16	B7	1	108
A	B	A16	B8	1	137
A	B	A16	B9	1	172
A	B	A16	B10	1	197
A	B	A17	B1	1	198
A	B	A17	B2	1	173
A	B	A17	B3	1	109
A	B	A17	B4	1	110
A	B	A17	B5	1	50
A	B	A17	B6	1	51
A	B	A17	B7	1	52
A	B	A17	B8	1	111
A	B	A17	B9	1	138
A	B	A17	B10	1	174
A	B	A18	B1	1	139
A	B	A18	B2	1	175
A	B	A18	B3	1	176
A	B	A18	B4	1	177
A	B	A18	B5	1	112
A	B	A18	B6	1	113
A	B	A18	B7	1	53
A	B	A18	B8	1	54
A	B	A18	B9	1	55
A	B	A18	B10	1	114
A	B	A19	B1	1	116
A	B	A19	B2	1	117
A	B	A19	B3	1	179
A	B	A19	B4	1	199
A	B	A19	B5	1	140
A	B	A19	B6	1	178
A	B	A19	B7	1	115
A	B	A19	B8	1	56
A	B	A19	B9	1	57
A	B	A19	B10	1	58
A	B	A20	B1	1	61
A	B	A20	B2	1	120
A	B	A20	B3	1	181
A	B	A20	B4	1	200
A	B	A20	B5	1	141
A	B	A20	B6	1	180
A	B	A20	B7	1	118
A	B	A20	B8	1	59
A	B	A20	B9	1	119
A	B	A20	B10	1	60
A	D	A1	D1	2	1, 182
A	D	A1	D2	1	2
A	D	A1	D3	1	3
A	D	A1	D4	1	63
A	D	A1	D5	2	64, 143
A	D	A1	D6	1	62
A	D	A1	D7	2	121, 142
A	D	A2	D1	1	5
A	D	A2	D2	2	4, 183
A	D	A2	D3	2	66, 67
A	D	A2	D4	1	6
A	D	A2	D5	2	122, 144
A	D	A2	D6	1	65
A	D	A2	D7	1	123
A	D	A3	D1	2	9, 146
A	D	A3	D2	2	68, 145
A	D	A3	D3	1	7
A	D	A3	D4	2	8, 184
A	D	A3	D5	1	70
A	D	A3	D6	1	69
A	D	A3	D7	1	124
A	D	A4	D1	1	10
A	D	A4	D2	1	11
A	D	A4	D3	2	12, 147
A	D	A4	D4	2	13, 148
A	D	A4	D5	1	72
A	D	A4	D6	2	125, 185
A	D	A4	D7	1	71
A	D	A5	D1	2	15, 150
A	D	A5	D2	2	75, 149
A	D	A5	D3	1	74
A	D	A5	D4	1	14
A	D	A5	D5	1	16
A	D	A5	D6	2	73, 186
A	D	A5	D7	1	126
A	D	A6	D1	1	76
A	D	A6	D2	1	78
A	D	A6	D3	2	127, 151
A	D	A6	D4	1	77
A	D	A6	D5	2	17, 152
A	D	A6	D6	1	18
A	D	A6	D7	2	19, 187
A	D	A7	D1	1	79
A	D	A7	D2	2	128, 188
A	D	A7	D3	1	81
A	D	A7	D4	2	80, 153
A	D	A7	D5	1	21
A	D	A7	D6	2	20, 154
A	D	A7	D7	1	22
A	D	A8	D1	1	24
A	D	A8	D2	2	129, 155
A	D	A8	D3	2	82, 189
A	D	A8	D4	2	83, 156
A	D	A8	D5	1	84
A	D	A8	D6	1	23
A	D	A8	D7	1	25
A	D	A9	D1	2	28, 157
A	D	A9	D2	1	27
A	D	A9	D3	1	86
A	D	A9	D4	2	130, 158
A	D	A9	D5	2	85, 190
A	D	A9	D6	1	87
A	D	A9	D7	1	26
A	D	A10	D1	2	88, 160
A	D	A10	D2	1	29
A	D	A10	D3	1	30
A	D	A10	D4	1	31
A	D	A10	D5	2	89, 191
A	D	A10	D6	1	90
A	D	A10	D7	2	131, 159
A	D	A11	D1	2	91, 161
A	D	A11	D2	1	32
A	D	A11	D3	1	33
A	D	A11	D4	1	34
A	D	A11	D5	2	92, 192
A	D	A11	D6	2	93, 162
A	D	A11	D7	1	132
A	D	A12	D1	2	94, 164
A	D	A12	D2	2	96, 163
A	D	A12	D3	1	37
A	D	A12	D4	1	133
A	D	A12	D5	1	35
A	D	A12	D6	1	36
A	D	A12	D7	2	95, 193
A	D	A13	D1	1	97
A	D	A13	D2	2	98, 165
A	D	A13	D3	2	99, 166
A	D	A13	D4	1	134
A	D	A13	D5	2	38, 194
A	D	A13	D6	1	39
A	D	A13	D7	1	40
A	D	A14	D1	2	102, 195
A	D	A14	D2	1	101
A	D	A14	D3	2	100, 167
A	D	A14	D4	2	135, 168
A	D	A14	D5	1	41
A	D	A14	D6	1	42
A	D	A14	D7	1	43
A	D	A15	D1	1	136
A	D	A15	D2	2	44, 196
A	D	A15	D3	2	45, 170
A	D	A15	D4	2	46, 169
A	D	A15	D5	1	103
A	D	A15	D6	1	105
A	D	A15	D7	1	104
A	D	A16	D1	1	137
A	D	A16	D2	1	47
A	D	A16	D3	1	108
A	D	A16	D4	2	49, 197
A	D	A16	D5	2	106, 171
A	D	A16	D6	2	107, 172
A	D	A16	D7	1	48
A	D	A17	D1	1	51
A	D	A17	D2	1	109
A	D	A17	D3	1	50
A	D	A17	D4	1	111
A	D	A17	D5	2	138, 173
A	D	A17	D6	2	110, 174
A	D	A17	D7	2	52, 198
A	D	A18	D1	1	53
A	D	A18	D2	1	113
A	D	A18	D3	1	54
A	D	A18	D4	1	55
A	D	A18	D5	2	114, 176
A	D	A18	D6	2	139, 175
A	D	A18	D7	2	112, 177
A	D	A19	D1	2	116, 199
A	D	A19	D2	1	117
A	D	A19	D3	1	140
A	D	A19	D4	1	56
A	D	A19	D5	1	57
A	D	A19	D6	2	115, 178
A	D	A19	D7	2	58, 179
A	D	A20	D1	2	119, 181
A	D	A20	D2	1	60
A	D	A20	D3	2	120, 200
A	D	A20	D4	1	118
A	D	A20	D5	1	59
A	D	A20	D6	1	141
A	D	A20	D7	2	61, 180
A	C	A1	C1	3	1, 62, 143
A	C	A1	C2	3	2, 63, 121
A	C	A1	C3	4	3, 64, 142, 182
A	C	A2	C1	4	5, 66, 122, 183
A	C	A2	C2	3	6, 67, 144
A	C	A2	C3	3	4, 65, 123
A	C	A3	C1	3	9, 69, 146
A	C	A3	C2	4	7, 68, 124, 184
A	C	A3	C3	3	8, 70, 145
A	C	A4	C1	4	11, 12, 148, 185
A	C	A4	C2	3	10, 72, 147
A	C	A4	C3	3	13, 71, 125
A	C	A5	C1	3	14, 75, 126
A	C	A5	C2	3	16, 73, 150
A	C	A5	C3	4	15, 74, 149, 186
A	C	A6	C1	3	19, 76, 127
A	C	A6	C2	4	18, 77, 152, 187
A	C	A6	C3	3	17, 78, 151
A	C	A7	C1	3	21, 80, 153
A	C	A7	C2	4	22, 81, 154, 188
A	C	A7	C3	3	20, 79, 128
A	C	A8	C1	4	23, 83, 156, 189
A	C	A8	C2	3	25, 82, 129
A	C	A8	C3	3	24, 84, 155
A	C	A9	C1	3	27, 86, 157
A	C	A9	C2	4	28, 87, 158, 190
A	C	A9	C3	3	26, 85, 130
A	C	A10	C1	3	30, 88, 160
A	C	A10	C2	4	29, 90, 159, 191
A	C	A10	C3	3	31, 89, 131
A	C	A11	C1	4	34, 92, 162, 192
A	C	A11	C2	3	33, 93, 132
A	C	A11	C3	3	32, 91, 161
A	C	A12	C1	4	35, 95, 133, 193
A	C	A12	C2	3	36, 96, 163
A	C	A12	C3	3	37, 94, 164
A	C	A13	C1	4	39, 98, 165, 194
A	C	A13	C2	3	40, 97, 134
A	C	A13	C3	3	38, 99, 166
A	C	A14	C1	3	43, 101, 135
A	C	A14	C2	3	41, 102, 168
A	C	A14	C3	4	42, 100, 167, 195
A	C	A15	C1	4	44, 105, 170, 196
A	C	A15	C2	3	45, 103, 136
A	C	A15	C3	3	46, 104, 169
A	C	A16	C1	3	48, 106, 137
A	C	A16	C2	3	49, 108, 172
A	C	A16	C3	4	47, 107, 171, 197
A	C	A17	C1	3	52, 109, 174
A	C	A17	C2	3	50, 110, 138
A	C	A17	C3	4	51, 111, 173, 198
A	C	A18	C1	3	54, 114, 139
A	C	A18	C2	4	53, 112, 175, 176
A	C	A18	C3	3	55, 113, 177
A	C	A19	C1	3	57, 116, 140
A	C	A19	C2	4	56, 117, 179, 199
A	C	A19	C3	3	58, 115, 178
A	C	A20	C1	4	61, 118, 180, 200
A	C	A20	C2	3	60, 119, 181
A	C	A20	C3	3	59, 120, 141
B	D	B1	D1	3	1, 79, 116
B	D	B1	D2	3	4, 75, 129
B	D	B1	D3	2	7, 100
B	D	B1	D4	3	34, 77, 130
B	D	B1	D5	3	38, 103, 171
B	D	B1	D6	3	36, 139, 185
B	D	B1	D7	3	61, 159, 198
B	D	B2	D1	3	5, 157, 160
B	D	B2	D2	3	2, 78, 117
B	D	B2	D3	3	37, 82, 120
B	D	B2	D4	2	8, 80
B	D	B2	D5	3	41, 106, 173
B	D	B2	D6	3	39, 93, 175
B	D	B2	D7	3	71, 104, 126
B	D	B3	D1	3	9, 150, 181
B	D	B3	D2	3	44, 96, 109
B	D	B3	D3	3	3, 81, 127
B	D	B3	D4	2	6, 83
B	D	B3	D5	3	72, 85, 176
B	D	B3	D6	3	42, 107, 162
B	D	B3	D7	3	40, 131, 179
B	D	B4	D1	3	10, 146, 199
B	D	B4	D2	3	47, 98, 128
B	D	B4	D3	3	45, 86, 200
B	D	B4	D4	3	14, 63, 133
B	D	B4	D5	3	17, 84, 191
B	D	B4	D6	2	65, 110
B	D	B4	D7	3	43, 132, 177
B	D	B5	D1	3	15, 88, 164
B	D	B5	D2	3	11, 101, 188
B	D	B5	D3	3	50, 99, 140
B	D	B5	D4	3	46, 156, 184
B	D	B5	D5	3	64, 144, 192
B	D	B5	D6	3	18, 87, 141
B	D	B5	D7	2	48, 112
B	D	B6	D1	3	51, 102, 161
B	D	B6	D2	3	68, 113, 163
B	D	B6	D3	3	12, 66, 189
B	D	B6	D4	3	49, 134, 158
B	D	B6	D5	2	16, 89
B	D	B6	D6	3	20, 105, 178
B	D	B6	D7	3	19, 142, 180
B	D	B7	D1	3	53, 91, 136
B	D	B7	D2	2	29, 145
B	D	B7	D3	3	67, 108, 166
B	D	B7	D4	3	13, 118, 135
B	D	B7	D5	3	21, 143, 152
B	D	B7	D6	3	23, 115, 186
B	D	B7	D7	3	26, 52, 193
B	D	B8	D1	3	24, 94, 137
B	D	B8	D2	3	27, 149, 183
B	D	B8	D3	3	54, 147, 167
B	D	B8	D4	3	56, 111, 169
B	D	B8	D5	3	59, 92, 194
B	D	B8	D6	2	69, 90
B	D	B8	D7	3	22, 121, 187
B	D	B9	D1	3	28, 119, 182
B	D	B9	D2	2	32, 165
B	D	B9	D3	3	30, 151, 170
B	D	B9	D4	3	55, 153, 168
B	D	B9	D5	4	57, 70, 122, 138
B	D	B9	D6	3	73, 125, 172
B	D	B9	D7	2	25, 95
B	D	B10	D1	3	76, 97, 195
B	D	B10	D2	3	60, 155, 196
B	D	B10	D3	2	33, 74
B	D	B10	D4	3	31, 148, 197
B	D	B10	D5	3	35, 114, 190
B	D	B10	D6	3	62, 154, 174
B	D	B10	D7	3	58, 123, 124
B	C	B1	C1	7	1, 34, 61, 75, 116, 139, 185
B	C	B1	C2	6	7, 36, 77, 103, 129, 159
B	C	B1	C3	7	4, 38, 79, 100, 130, 171, 198
B	C	B2	C1	7	5, 39, 80, 106, 126, 157, 160
B	C	B2	C2	6	2, 41, 82, 93, 117, 175
B	C	B2	C3	7	8, 37, 71, 78, 104, 120, 173
B	C	B3	C1	6	9, 44, 83, 109, 127, 162
B	C	B3	C2	9	6, 40, 72, 81, 96, 150, 176, 179, 181
B	C	B3	C3	5	3, 42, 85, 107, 131
B	C	B4	C1	7	14, 43, 86, 98, 133, 146, 200
B	C	B4	C2	7	10, 45, 63, 110, 132, 191, 199
B	C	B4	C3	6	17, 47, 65, 84, 128, 177
B	C	B5	C1	7	11, 48, 88, 101, 140, 156, 192
B	C	B5	C2	7	18, 50, 87, 112, 144, 184, 188
B	C	B5	C3	6	15, 46, 64, 99, 141, 164
B	C	B6	C1	6	12, 19, 66, 105, 180, 189
B	C	B6	C2	7	16, 49, 68, 102, 134, 158, 163
B	C	B6	C3	7	20, 51, 89, 113, 142, 161, 178
B	C	B7	C1	7	21, 23, 52, 118, 135, 143, 193
B	C	B7	C2	6	29, 53, 67, 108, 136, 152
B	C	B7	C3	7	13, 26, 91, 115, 145, 166, 186
B	C	B8	C1	7	27, 54, 69, 92, 137, 183, 194
B	C	B8	C2	6	22, 56, 90, 121, 147, 187
B	C	B8	C3	7	24, 59, 94, 111, 149, 167, 169
B	C	B9	C1	7	30, 57, 95, 122, 153, 165, 170
B	C	B9	C2	7	25, 28, 73, 119, 138, 168, 172
B	C	B9	C3	6	32, 55, 70, 125, 151, 182
B	C	B10	C1	7	35, 62, 76, 114, 148, 174, 196
B	C	B10	C2	6	33, 60, 97, 124, 154, 190
B	C	B10	C3	7	31, 58, 74, 123, 155, 195, 197
D	C	D1	C1	10	1, 5, 9, 76, 88, 116, 137, 146, 157, 160
D	C	D1	C2	10	10, 28, 53, 97, 102, 119, 136, 150, 181, 199
D	C	D1	C3	10	15, 24, 51, 79, 91, 94, 161, 164, 182, 195
D	C	D2	C1	10	11, 27, 44, 75, 98, 101, 109, 165, 183, 196
D	C	D2	C2	9	2, 29, 60, 68, 96, 117, 129, 163, 188
D	C	D2	C3	9	4, 32, 47, 78, 113, 128, 145, 149, 155
D	C	D3	C1	10	12, 30, 54, 66, 86, 127, 140, 170, 189, 200
D	C	D3	C2	9	7, 33, 45, 50, 67, 81, 82, 108, 147
D	C	D3	C3	9	3, 37, 74, 99, 100, 120, 151, 166, 167
D	C	D4	C1	10	14, 34, 80, 83, 118, 133, 135, 148, 153, 156
D	C	D4	C2	9	6, 49, 56, 63, 77, 134, 158, 168, 184
D	C	D4	C3	9	8, 13, 31, 46, 55, 111, 130, 169, 197
D	C	D5	C1	10	21, 35, 57, 92, 106, 114, 122, 143, 192, 194
D	C	D5	C2	10	16, 41, 72, 103, 138, 144, 152, 176, 190, 191
D	C	D5	C3	10	17, 38, 59, 64, 70, 84, 85, 89, 171, 173
D	C	D6	C1	9	23, 39, 62, 69, 105, 139, 162, 174, 185
D	C	D6	C2	10	18, 36, 73, 87, 90, 93, 110, 154, 172, 175
D	C	D6	C3	9	20, 42, 65, 107, 115, 125, 141, 178, 186
D	C	D7	C1	9	19, 43, 48, 52, 61, 95, 126, 180, 193
D	C	D7	C2	10	22, 25, 40, 112, 121, 124, 132, 159, 179, 187
D	C	D7	C3	9	26, 58, 71, 104, 123, 131, 142, 177, 198
